Store,Date,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2
1,2022-01-01,6,11898.34,388.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-01-02,7,12746.32,560.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-03,1,7983.84,273.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-04,2,9106.46,339.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-05,3,9124.65,313.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-06,4,12685.39,367.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-01-07,5,9071.14,415.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-08,6,17847.72,747.0,1,1,0,0,c,basic,,1
1,2022-01-09,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-10,1,12825.65,379.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-01-11,2,10507.17,422.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-12,3,10863.16,386.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-01-13,4,8807.24,253.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-14,5,10220.91,330.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-15,6,12620.58,580.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-16,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-17,1,10446.57,313.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-18,2,14264.88,454.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-01-19,3,7131.89,349.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-20,4,13596.4,550.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-01-21,5,11093.85,473.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-22,6,10998.47,324.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-23,7,17149.96,512.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-01-24,1,9838.03,372.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-01-25,2,7101.91,304.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-26,3,13005.66,523.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-01-27,4,9653.25,393.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-28,5,10469.58,380.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-01-29,6,14222.83,520.0,1,1,b,0,c,basic,1916.0044196750216,1
1,2022-01-30,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-01-31,1,12047.43,472.0,1,1,0,0,c,basic,,1
1,2022-02-01,2,9549.97,463.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-02,3,10000.66,361.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-03,4,9627.27,282.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-04,5,12246.51,361.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-05,6,16918.76,605.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-06,7,18706.69,634.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-07,1,14639.77,688.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-02-08,2,15467.81,768.0,1,1,0,0,c,basic,1916.0044196750216,1
